0.97	-0.07
1.8	0.04
0.9	0.43
1.01	0.08
1.54	-0.03
1.22	0.12
1.18	0.07
1.234	-0.25
0.98	-0.46
1.03	0
1.75	-0.027
1.11	0.2
0.905	0.31
1.7	-0.13
0.95	-0.01
1.52	0.21
0.92	-0.11
1.8	-0.03
1.4	-0.03
1.13	-0.27
1.5	-0.09
0.9	0
0.74	-0.2
1.14	-0.71
0.86	0.1
1.08	-0.22
1.1	0.28
0.63	0.3
0.8	-0.46
0.961	-0.15
0.75	-0.11
0.76	0.02
1.52	-0.19
0.7	-0.14
0.74	-0.07
0.99	0.5
0.571	-0.48
0.74	-0.03
1.7	-0.29
1.4	-0.27
0.4	0.04
0.95	0.06
0.89	0.26
1.27	0.04
1.078	0.16
1.09	0.01
1.13	0.05
1.098	0.19
1.04	0
0.95	-0.1
1.21	-0.02
0.97	-0.04
1.14	0.14
1.29	0
1.099	0.17
1.14	0.05
0.91	0.3
1.09	-0.01
1.09	0.01
1.05	0.1
1.01	0.15
0.976	0.2
1.41	0.14
0.98	0.02
1.25	0
1.09	0
0.86	0.44
1.1	0.05
1	-0.25
1.055	-0.2
0.93	0.03
0.88	0.3
0.99	-0.01
0.654	0.09
1.13	0.13
0.512	-0.26
0.6	0.03
0.9	-0.03
1.07	0.28
0.87	0
0.89	-0.53
0.532	-0.22
1.074	-0.2
0.832	0.41
0.831	-0.22
0.43	0.2
0.358	-0.02
0.644	0.37
0.615	-0.02
1.6	0.2
0.583	0.179
1.3	0.1
0.99	0.03
0.65	-0.11
1.007	0.18
0.595	0.11
0.457	0.09
0.44	-0.32
0.93	-0.025
1.005	0.12
1.19	-0.11
0.672	0.19
0.662	0.03
0.64	-0.11
0.294	0.15
1.7	-0.094
0.83	-0.13
1.7	0.12
1.23	-0.51
1.4	0.18
0.181	-0.12
0.15	0.39
0.375	-0.32
0.49	-0.1
0.357	0.3
0.29	0.09
0.9	0.1
0.681	-0.3
0.42	0.36
0.69	0
0.42	0.02
0.164	-0.27
0.47	-0.09
0.539	0.2
0.63	-0.04
0.5	-0.16
0.48	-0.22
0.452	-0.32
1.22	0.28
0.52	-0.08
0.802	0.06
0.31	-0.135
0.3	-0.38
0.54	0.08
0.33	-0.55
0.35	-0.28
0.71	0.23
0.97	0.18
0.78	0.08
0.45	-0.31
0.49	0.22
0.8	-0.24
0.334	0.05
0.659	-0.28
1.151	0.13
0.81	0.31
0.73	-0.29
1.22	0.43
1.386	0.11
1.013	0.22
1.218	0.17
0.857	0
0.77	0.1
0.842	0.23
1.34	0.04
